Customer_ID,Assigned_Warehouse_ID,Demand,DistanceKM,Cost
1,24,861.0,236.689599475084,203789.74514804734
2,35,758.0,136.54453656678217,103500.75871762089
3,14,541.0,120.3529608529708,65110.9518214572
4,27,707.0,320.91337075385104,226885.75312297267
5,48,868.0,383.3545943222006,332751.78787167015
6,12,424.0,296.82466833273526,125853.65937307975
7,16,615.0,140.11219370420656,86168.99912808703
8,3,115.0,133.45229085316714,15347.013448114221
9,26,891.0,115.68264910985144,103073.24035687764
10,5,435.0,208.28335159619297,90603.25794434395
11,9,858.0,328.90170730104757,282197.66486429883
12,25,357.0,376.6116990115772,134450.37654713306
13,3,596.0,275.10090085641497,163960.13691042332
14,28,995.0,344.7769223412054,343053.0377294994
15,40,259.0,264.69847395329293,68556.90475390287
16,6,574.0,221.89965801653491,127370.40370149104
17,26,951.0,117.20188898085492,111458.99642079303
18,37,763.0,122.52993251508026,93490.33850900624
19,27,789.0,256.2617574659945,202190.52664066965
20,11,774.0,120.56198276602676,93314.97466090471
21,10,479.0,280.17736210409373,134204.9564478609
22,31,644.0,234.66735161929512,151125.77444282605
23,43,790.0,193.4654185807238,152837.6806787718
24,31,526.0,212.43088063788144,111738.64321552563
25,6,712.0,159.63267871941267,113658.46724822182
26,46,367.0,68.9433596121029,25302.212977641764
27,16,934.0,154.23125133413703,144051.98874608398
28,21,676.0,195.1593914082275,131927.74859196178
29,25,516.0,251.34584698467475,129694.45704409217
30,2,267.0,216.9123357227013,57915.59363796125
31,27,941.0,165.345764304194,155590.36421024657
32,24,142.0,271.0189366711443,38484.689007302484
33,33,655.0,110.69826650337008,72507.3645597074
34,35,384.0,210.1741345721326,80706.86767569892
35,34,496.0,182.9706461225024,90753.44047676118
36,16,111.0,210.87284294615867,23406.88556702361
37,49,706.0,254.03575017671128,179349.23962475816
38,46,401.0,355.21168684995695,142439.88642683273
39,46,997.0,287.912468965605,287048.7315587082
40,10,352.0,416.4506371876247,146590.6242900439
41,5,598.0,192.1997819315401,114935.46959506097
42,7,853.0,233.62544239487215,199282.50236282594
43,34,134.0,138.62265138557083,18575.435285666492
44,13,826.0,152.28084795877325,125783.9804139467
45,29,948.0,90.56768898462344,85858.16915742302
46,17,189.0,91.83257821958802,17356.357283502133
47,47,875.0,83.24285879166266,72837.50144270483
48,26,704.0,184.30366757452992,129749.78197246906
49,8,701.0,91.038106904559,63817.71294009586
50,44,517.0,190.5603985865665,98519.72606925487
51,34,214.0,381.5307380378064,81647.57794009056
52,49,716.0,228.99114194402503,163957.65763192193
53,16,295.0,224.23940338066188,66150.62399729526
54,16,925.0,48.908482900450885,45240.34668291707
55,26,600.0,376.26366218769056,225758.19731261433
56,21,725.0,152.987482297069,110915.92466537502
57,6,592.0,384.56982034499305,227665.33364423589
58,16,174.0,206.86563201291133,35994.619970246575
59,10,512.0,99.3374535214806,50860.776202998066
60,43,475.0,147.36091404490944,69996.43417133199
61,15,519.0,59.88142961679169,31078.461971114888
62,48,828.0,74.4780148080862,61667.79626109538
63,9,376.0,229.02269020329948,86112.5315164406
64,49,860.0,233.81103618556557,201077.4911195864
65,20,775.0,172.85147348503892,133959.89195090518
66,39,493.0,175.79424514797518,86666.56285795177
67,37,968.0,193.054558758559,186876.81287828513
68,14,556.0,314.5198536343226,174873.03862068336
69,10,291.0,490.63768050925734,142775.56502819387
70,49,838.0,490.8053230119511,411294.86068401503
71,36,788.0,247.03973019676715,194667.3073950525
72,46,198.0,180.52915444497327,35744.772580104705
73,42,647.0,162.48523568861324,105127.94749053277
74,38,195.0,86.11016886091281,16791.482927877998
75,15,763.0,412.50701240897223,314742.8504680458
76,20,762.0,129.68742282345977,98821.81619147635
77,45,289.0,125.0962944865914,36152.829106624915
78,44,835.0,143.106734523581,119494.12332719013
79,25,136.0,360.1952671017584,48986.55632583915
80,35,879.0,359.87407775651457,316329.3143479763
81,10,468.0,304.0507614799067,142295.75637259634
82,36,794.0,100.01454194686322,79411.54630580939
83,42,624.0,153.29089636729353,95653.51933319116
84,49,378.0,76.58125708029948,28947.715176353202
85,28,316.0,151.30429636217048,47812.15765044587
86,50,966.0,230.38501254798587,222551.92212135435
87,9,972.0,270.0002834229072,262440.27548706584
88,24,897.0,237.99181013549537,213478.65369153934
89,43,372.0,220.30133946994303,81952.09828281881
90,46,980.0,74.29887672467576,72812.89919018224
91,50,161.0,41.09305579086151,6615.981982328703
92,44,695.0,217.248525281572,150987.72507069254
93,44,979.0,277.20677511503817,271385.43283762236
94,8,828.0,127.98379106154214,105970.57899895689
95,40,441.0,205.56365469215433,90653.57171924006
96,11,496.0,39.463915676038305,19574.102175314998
97,44,798.0,167.13415211156723,133373.05338503065
98,25,118.0,256.7782209315887,30299.830069927466
99,34,276.0,66.32375549290374,18305.356516041433
100,35,711.0,185.1899453472793,131670.05114191558
